,accepted_species,accepted_species_w_author,native_tdwg3_codes,intro_tdwg3_codes
250,Allomarkgrafia campanulata,Allomarkgrafia campanulata (Markgr.) J.F.Morales,"('PAN',)",
251,Allomarkgrafia ecuatoriana,Allomarkgrafia ecuatoriana J.F.Morales,"('CLM', 'ECU')",
252,Allomarkgrafia foreroi,Allomarkgrafia foreroi A.H.Gentry,"('CLM', 'ECU')",
253,Allomarkgrafia insignis,Allomarkgrafia insignis J.F.Morales,"('COS',)",
254,Allomarkgrafia laxiflora,Allomarkgrafia laxiflora A.H.Gentry,"('CLM', 'ECU')",
255,Allomarkgrafia ovalis,Allomarkgrafia ovalis (Ruiz & Pav. ex Markgr.) Woodson,"('PER',)",
256,Allomarkgrafia plumeriiflora,Allomarkgrafia plumeriiflora Woodson,"('CLM', 'COS', 'HON', 'NIC', 'PAN')",
257,Allomarkgrafia tubiflora,Allomarkgrafia tubiflora Woodson ex Dwyer,"('PER',)",
258,Allowoodsonia whitmorei,Allowoodsonia whitmorei Markgr.,"('SOL',)",
259,Alseis blackiana,Alseis blackiana Hemsl.,"('CLM', 'PAN')",
260,Alseis costaricensis,Alseis costaricensis C.M.Taylor,"('COS', 'NIC')",
261,Alseis eggersii,Alseis eggersii Standl.,"('ECU', 'PER')",
262,Alseis floribunda,Alseis floribunda Schott,"('BZE', 'BZL', 'BZN', 'BZS')",
263,Alseis gardneri,Alseis gardneri Wernham,"('BZL',)",
264,Alseis hondurensis,Alseis hondurensis Standl.,"('BLZ', 'GUA', 'HON', 'MXT')",
265,Alseis involuta,Alseis involuta K.Schum.,"('BZE', 'BZL')",
266,Alseis labatioides,Alseis labatioides H.Karst. ex K.Schum.,"('CLM', 'GUY', 'VEN')",
267,Alseis latifolia,Alseis latifolia Gleason,"('BZE',)",
268,Alseis longifolia,Alseis longifolia Ducke,"('BZN', 'FRG', 'GUY', 'SUR')",
269,Alseis lugonis,Alseis lugonis L.Andersson,"('BZN', 'ECU')",
270,Alseis microcarpa,Alseis microcarpa Standl. & Steyerm.,"('CLM', 'PER', 'VEN')",
271,Alseis mutisii,Alseis mutisii Moldenke,"('CLM', 'VEN')",
272,Alseis peruviana,Alseis peruviana Standl.,"('PER',)",
273,Alseis pickelii,Alseis pickelii Pilg. & Schmale,"('BZE', 'BZN')",
274,Alseis reticulata,Alseis reticulata Pilg. & Schmale,"('BOL', 'BZN')",
275,Alseis smithii,Alseis smithii Standl.,"('GUY',)",
276,Alseis yucatanensis,Alseis yucatanensis Standl.,"('BLZ', 'GUA', 'MXT')",
277,Alstonia actinophylla,Alstonia actinophylla (A.Cunn.) K.Schum.,"('NTA', 'NWG', 'QLD', 'WAU')",
278,Alstonia angustifolia,Alstonia angustifolia Wall. ex A.DC.,"('BOR', 'MLY', 'SUM')",
279,Alstonia angustiloba,Alstonia angustiloba Miq.,"('BOR', 'JAW', 'MLY', 'SUM', 'THA')",
280,Alstonia annamensis,Alstonia annamensis (Monach.) Sidiyasa,"('CBD', 'VIE')",
281,Alstonia balansae,Alstonia balansae Guillaumin,"('NWC',)",
282,Alstonia beatricis,Alstonia beatricis Sidiyasa,"('NWG',)",
283,Alstonia boonei,Alstonia boonei De Wild.,"('BEN', 'CAB', 'CAF', 'CMN', 'CON', 'EQG', 'ETH', 'GAB', 'GAM', 'GHA', 'GNB', 'GUI', 'IVO', 'LBR', 'NGA', 'SEN', 'SIE', 'SUD', 'TAN', 'TOG', 'UGA', 'ZAI')",
284,Alstonia boulindaensis,Alstonia boulindaensis Boiteau,"('NWC',)",
285,Alstonia breviloba,Alstonia breviloba Sidiyasa,"('NWG',)",
286,Alstonia congensis,Alstonia congensis Engl.,"('BEN', 'BKN', 'CAB', 'CAF', 'CMN', 'CON', 'EQG', 'GAB', 'GNB', 'GUI', 'LBR', 'NGA', 'ZAI')",
287,Alstonia constricta,Alstonia constricta F.Muell.,"('NSW', 'QLD')",
288,Alstonia coriacea,Alstonia coriacea Pancher ex S.Moore,"('NWC',)",
289,Alstonia costata,Alstonia costata (G.Forst.) R.Br.,"('COO', 'FIJ', 'MRQ', 'NWC', 'SAM', 'SCI', 'SCZ', 'SOL', 'TON', 'VAN')",
290,Alstonia curtisii,Alstonia curtisii King & Gamble,"('THA',)",
291,Alstonia deplanchei,Alstonia deplanchei Van Heurck & Müll.Arg.,"('NWC',)",
292,Alstonia guanxiensis,Alstonia guanxiensis D.Fang & X.X.Chen,"('CHS', 'VIE')",
293,Alstonia iwahigensis,Alstonia iwahigensis Elmer,"('BOR', 'PHI')",
294,Alstonia lanceolata,Alstonia lanceolata Van Heurck & Müll.Arg.,"('NWC',)",
295,Alstonia lanceolifera,Alstonia lanceolifera S.Moore,"('NWC',)",
296,Alstonia legouixiae,Alstonia legouixiae Van Heurck & Müll.Arg.,"('NWC',)",
297,Alstonia lenormandii,Alstonia lenormandii Van Heurck & Müll.Arg.,"('NWC',)",
298,Alstonia longifolia,Alstonia longifolia (A.DC.) Pichon,"('COS', 'ELS', 'GUA', 'HON', 'MXC', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN')",
299,Alstonia macrophylla,Alstonia macrophylla Wall. ex G.Don,"('AND', 'BOR', 'CBD', 'CHC', 'CHS', 'MLY', 'MOL', 'NCB', 'NWG', 'PHI', 'SRL', 'SUM', 'THA', 'VIE')","('BAN', 'IND')"
300,Alstonia mairei,Alstonia mairei H.Lév.,"('CHC', 'VIE')",
301,Alstonia muelleriana,Alstonia muelleriana Domin,"('NWG', 'QLD')",
302,Alstonia neriifolia,Alstonia neriifolia D.Don,"('BAN', 'EHM', 'NEP')","('JAW', 'MLY')"
303,Alstonia odontophora,Alstonia odontophora Boiteau,"('NWC',)",
304,Alstonia parkinsonii,Alstonia parkinsonii (M.Gangop. & Chakrab.) Lakra & Chakrab.,"('AND',)",
305,Alstonia parvifolia,Alstonia parvifolia Merr.,"('PHI',)",
306,Alstonia penangiana,Alstonia penangiana Sidiyasa,"('MLY',)",
307,Alstonia pneumatophora,Alstonia pneumatophora Backer ex Den Berger,"('BOR', 'MLY', 'SUL', 'SUM')",
308,Alstonia quaternata,Alstonia quaternata Van Heurck & Müll.Arg.,"('NWC',)",
309,Alstonia rostrata,Alstonia rostrata C.E.C.Fisch.,"('CBD', 'CHC', 'CHH', 'LAO', 'MLY', 'MYA', 'SUM', 'THA', 'VIE')",
310,Alstonia rubiginosa,Alstonia rubiginosa Sidiyasa,"('NWG',)",
311,Alstonia rupestris,Alstonia rupestris Kerr,"('CHS', 'THA')",
312,Alstonia scholaris,Alstonia scholaris (L.) R.Br.,"('AND', 'ASS', 'BAN', 'BIS', 'BOR', 'CBD', 'CHC', 'CHS', 'EHM', 'IND', 'JAW', 'LAO', 'LDV', 'LSI', 'MLY', 'MOL', 'MYA', 'NCB', 'NEP', 'NTA', 'NWG', 'PAK', 'PHI', 'QLD', 'SOL', 'SRL', 'SUL', 'SUM', 'THA', 'VIE', 'WAU', 'WHM')","('CHH', 'CRL', 'TRT')"
313,Alstonia sebusii,Alstonia sebusii (Van Heurck & Müll.Arg.) Monach.,"('ASS', 'CHC', 'EHM', 'MYA')",
314,Alstonia spatulata,Alstonia spatulata Blume,"('BOR', 'CBD', 'JAW', 'MLY', 'MYA', 'NWG', 'SUM', 'THA', 'VIE')",
315,Alstonia spectabilis,Alstonia spectabilis R.Br.,"('BIS', 'JAW', 'LSI', 'MOL', 'NTA', 'NWG', 'PHI', 'QLD', 'SOL', 'SUL', 'WAU')",
316,Alstonia sphaerocapitata,Alstonia sphaerocapitata Boiteau,"('NWC',)",
317,Alstonia venenata,Alstonia venenata R.Br.,"('IND',)",
318,Alstonia vieillardii,Alstonia vieillardii Van Heurck & Müll.Arg.,"('NWC',)",
319,Alstonia vietnamensis,Alstonia vietnamensis D.J.Middleton,"('VIE',)",
320,Alstonia yunnanensis,Alstonia yunnanensis Diels,"('CHC', 'CHS')",
321,Alyxia acuminata,Alyxia acuminata K.Schum.,"('NWG',)",
322,Alyxia angustifolia,Alyxia angustifolia Ridl.,"('BOR', 'MLY', 'PHI')",
323,Alyxia angustissima,Alyxia angustissima Merr. & Quisumb.,"('PHI',)",
324,Alyxia annamensis,Alyxia annamensis Pit.,"('CBD', 'VIE')",
325,Alyxia arfakensis,Alyxia arfakensis Kaneh. & Hatus.,"('NWG',)",
326,Alyxia baillonii,Alyxia baillonii Guillaumin,"('NWC',)",
327,Alyxia balansae,Alyxia balansae Pit.,"('CHC', 'CHS', 'VIE')",
328,Alyxia bracteolosa,Alyxia bracteolosa Rich. ex A.Gray,"('FIJ', 'SAM', 'SOL', 'TON', 'VAN', 'WAL')",
329,Alyxia buxifolia,Alyxia buxifolia R.Br.,"('NSW', 'SOA', 'TAS', 'VIC', 'WAU')",
330,Alyxia cacuminum,Alyxia cacuminum Markgr.,"('NWG',)",
331,Alyxia caletioides,Alyxia caletioides (Baill.) Guillaumin ex Däniker,"('NWC',)",
332,Alyxia celebica,Alyxia celebica D.J.Middleton,"('SUL',)",
333,Alyxia clusiophylla,Alyxia clusiophylla (Baill.) Guillaumin,"('NWC',)",
334,Alyxia composita,Alyxia composita Warb.,"('MOL', 'NWG')",
335,Alyxia concatenata,Alyxia concatenata (Blanco) Merr.,"('PHI',)",
336,Alyxia cylindrocarpa,Alyxia cylindrocarpa Guillaumin,"('NWC',)",
337,Alyxia defoliata,Alyxia defoliata Markgr.,"('NWG',)",
338,Alyxia efatensis,Alyxia efatensis Guillaumin,"('VAN',)",
339,Alyxia erythrosperma,Alyxia erythrosperma Gillespie,"('FIJ',)",
340,Alyxia evansii,Alyxia evansii D.J.Middleton,"('NTA',)",
341,Alyxia fascicularis,Alyxia fascicularis (Wall. ex G.Don) Benth. ex Hook.f.,"('ASS', 'CHT', 'EHM', 'THA')",
342,Alyxia floribunda,Alyxia floribunda Markgr.,"('NWG',)",
343,Alyxia funingensis,Alyxia funingensis Tsiang & P.T.Li,"('CHC', 'CHS', 'MYA')",
344,Alyxia ganophylla,Alyxia ganophylla Markgr.,"('BOR', 'MLY')",
345,Alyxia glaucophylla,Alyxia glaucophylla Van Heurck & Müll.Arg.,"('NWC',)",
346,Alyxia globosa,Alyxia globosa D.J.Middleton,"('SUL',)",
347,Alyxia graciliflora,Alyxia graciliflora D.J.Middleton,"('NWG',)",
348,Alyxia gracilis,Alyxia gracilis (Wall. ex A.DC.) Benth. ex Hook.f.,"('ASS', 'BAN', 'EHM')",
349,Alyxia grandis,Alyxia grandis P.I.Forst.,"('QLD',)",
350,Alyxia gynopogon,Alyxia gynopogon Roem. & Schult.,"('NFK',)",
351,Alyxia hainanensis,Alyxia hainanensis Merr. & Chun,"('CHH', 'VIE')",
352,Alyxia halmaheirae,Alyxia halmaheirae Miq.,"('MOL', 'SUL')",
353,Alyxia hurlimannii,Alyxia hurlimannii Guillaumin,"('NWC',)",
354,Alyxia ilicifolia,Alyxia ilicifolia F.Muell.,"('QLD',)",
355,Alyxia kaalaensis,Alyxia kaalaensis Boiteau,"('NWC',)",
356,Alyxia kabaenae,Alyxia kabaenae Markgr.,"('SUL',)",
357,Alyxia kendarica,Alyxia kendarica Markgr.,"('SUL',)",
358,Alyxia kwalotabaa,Alyxia kwalotabaa D.J.Middleton,"('BIS', 'SOL')",
359,Alyxia lackii,Alyxia lackii D.J.Middleton,"('SUL',)",
360,Alyxia lamii,Alyxia lamii Markgr.,"('NWG',)",
361,Alyxia laurina,Alyxia laurina Gaudich.,"('NWG',)",
362,Alyxia leucogyne,Alyxia leucogyne Van Heurck & Müll.Arg.,"('NWC',)",
363,Alyxia linearis,Alyxia linearis Markgr.,"('PHI',)",
364,Alyxia loeseneriana,Alyxia loeseneriana Schltr.,"('NWC',)",
365,Alyxia longiloba,Alyxia longiloba D.J.Middleton,"('NWG',)",
366,Alyxia luzoniensis,Alyxia luzoniensis Merr.,"('PHI',)",
367,Alyxia magnifolia,Alyxia magnifolia F.M.Bailey,"('QLD',)",
368,Alyxia manusiana,Alyxia manusiana D.J.Middleton,"('BIS',)",
369,Alyxia margaretae,Alyxia margaretae Boiteau,"('NWC',)",
370,Alyxia marginata,Alyxia marginata Pit.,"('CBD', 'VIE')",
371,Alyxia markgrafii,Alyxia markgrafii Tsiang,"('NWG',)",
372,Alyxia menglungensis,Alyxia menglungensis Tsiang & P.T.Li,"('CHC',)",
373,Alyxia microphylla,Alyxia microphylla Markgr.,"('NWG',)",
374,Alyxia minutiflora,Alyxia minutiflora D.J.Middleton,"('SUL',)",
375,Alyxia monticola,Alyxia monticola C.B.Rob.,"('PHI', 'TAI')",
376,Alyxia mucronata,Alyxia mucronata D.J.Middleton,"('NWC',)",
377,Alyxia muguma,Alyxia muguma D.J.Middleton,"('PHI',)",
378,Alyxia mujongensis,Alyxia mujongensis Markgr.,"('BOR',)",
379,Alyxia multistriata,Alyxia multistriata Markgr.,"('NWG',)",
380,Alyxia nathoi,Alyxia nathoi Lý,"('VIE',)",
381,Alyxia oblongata,Alyxia oblongata Domin,"('NWG', 'QLD')",
382,Alyxia obovatifolia,Alyxia obovatifolia Merr.,"('PHI',)",
383,Alyxia oleifolia,Alyxia oleifolia King & Gamble,"('BOR', 'MLY', 'SUM')",
384,Alyxia oppositifolia,Alyxia oppositifolia Boiteau,"('NWC',)",
385,Alyxia orophila,Alyxia orophila Domin,"('QLD',)",
386,Alyxia oubatchensis,Alyxia oubatchensis (Schltr.) Guill. ex Boiteau,"('NWC',)",
387,Alyxia palawanensis,Alyxia palawanensis Markgr.,"('BOR', 'PHI', 'SUL')",
388,Alyxia papuana,Alyxia papuana D.J.Middleton,"('NWG',)",
389,Alyxia parvifolia,Alyxia parvifolia (Merr.) Merr.,"('PHI',)",
390,Alyxia pilosa,Alyxia pilosa Miq.,"('MLY', 'SUM')",
391,Alyxia podocarpa,Alyxia podocarpa Van Heurck & Müll.Arg.,"('NWC', 'VAN')",
392,Alyxia poyaensis,Alyxia poyaensis (Boiteau) D.J.Middleton,"('NWC',)",
393,Alyxia pseudosinensis,Alyxia pseudosinensis Pit.,"('LAO', 'VIE')",
394,Alyxia pugio,Alyxia pugio Markgr.,"('NWG',)",
395,Alyxia pullei,Alyxia pullei Markgr.,"('NWG',)",
396,Alyxia punctata,Alyxia punctata Kaneh. & Hatus.,"('NWG',)",
397,Alyxia purpureoclada,Alyxia purpureoclada Kaneh. & Hatus.,"('NWG',)",
398,Alyxia racemosa,Alyxia racemosa Pit.,"('VIE',)",
399,Alyxia reinwardtii,Alyxia reinwardtii Blume,"('AND', 'BAN', 'BOR', 'CBD', 'CHC', 'JAW', 'LAO', 'LSI', 'MLY', 'MYA', 'NCB', 'PHI', 'SUM', 'THA', 'VIE')",
400,Alyxia ridleyana,Alyxia ridleyana Wernham,"('NWG',)",
401,Alyxia rostrata,Alyxia rostrata (Markgr.) Markgr.,"('NWG',)",
402,Alyxia royeniana,Alyxia royeniana Markgr.,"('NWG',)",
403,Alyxia rubricaulis,Alyxia rubricaulis (Baill.) Guillaumin,"('NWC',)",
404,Alyxia ruscifolia,Alyxia ruscifolia R.Br.,"('NFK', 'NSW', 'NTA', 'QLD')",
405,Alyxia samoensis,Alyxia samoensis (Christoph.) A.C.Sm.,"('SAM',)",
406,Alyxia sarasinii,Alyxia sarasinii Guillaumin,"('NWC',)",
407,Alyxia scabrida,Alyxia scabrida Markgr.,"('BIS', 'NWG')",
408,Alyxia schlechteri,Alyxia schlechteri H.Lév.,"('CHC', 'CHS', 'THA')",
409,Alyxia semipallescens,Alyxia semipallescens F.Muell.,"('NWG',)",
410,Alyxia siamensis,Alyxia siamensis Craib,"('CBD', 'CHC', 'CHS', 'LAO', 'THA', 'VIE')",
411,Alyxia sinensis,Alyxia sinensis Champ. ex Benth.,"('CHC', 'CHH', 'CHS', 'TAI')",
412,Alyxia sleumeri,Alyxia sleumeri Markgr.,"('NWG',)",
413,Alyxia sogerensis,Alyxia sogerensis Wernham ex S.Moore,"('NWG',)",
414,Alyxia solomonensis,Alyxia solomonensis D.J.Middleton,"('SOL',)",
415,Alyxia spicata,Alyxia spicata R.Br.,"('LSI', 'NTA', 'NWG', 'QLD', 'WAU')",
416,Alyxia squamulosa,Alyxia squamulosa C.Moore & F.Muell.,"('NFK',)",
417,Alyxia stellata,Alyxia stellata (J.R.Forst. & G.Forst.) Roem. & Schult.,"('COO', 'CRL', 'FIJ', 'HAW', 'MRN', 'MRQ', 'NUE', 'NWC', 'PIT', 'QLD', 'SAM', 'SCI', 'SOL', 'TON', 'TUA', 'TUB', 'VAN', 'WAL')",
418,Alyxia sulana,Alyxia sulana Markgr.,"('MOL', 'SUL')",
419,Alyxia tetanifolia,Alyxia tetanifolia Cranfield,"('WAU',)",
420,Alyxia tetraquetra,Alyxia tetraquetra Markgr.,"('NWG',)",
421,Alyxia thailandica,Alyxia thailandica D.J.Middleton,"('THA',)",
422,Alyxia tisserantii,Alyxia tisserantii Montrouz.,"('NWC',)",
423,Alyxia torquata,Alyxia torquata (Baill.) Guillaumin,"('NWC',)",
424,Alyxia tropica,Alyxia tropica (P.I.Forst.) D.J.Middleton,"('NTA',)",
425,Alyxia uniflora,Alyxia uniflora D.J.Middleton,"('SUL',)",
426,Alyxia veillonii,Alyxia veillonii D.J.Middleton,"('NWC',)",
427,Alyxia vera,Alyxia vera D.J.Middleton,"('MOL',)",
428,Amaioua brevidentata,Amaioua brevidentata Steyerm.,"('GUY', 'VEN')",
429,Amaioua contracta,Amaioua contracta Standl.,"('BZN',)",
430,Amaioua glomerulata,Amaioua glomerulata (Lam. ex Poir.) Delprete & C.H.Perss.,"('BLZ', 'BZC', 'BZN', 'CLM', 'COS', 'CUB', 'ECU', 'FRG', 'GUA', 'GUY', 'HON', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'SUR', 'TRT', 'VEN')",
431,Amaioua guianensis,Amaioua guianensis Aubl.,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'ECU', 'FRG', 'GUY', 'PER', 'SUR', 'VEN')",
432,Amaioua intermedia,Amaioua intermedia Mart. ex Schult. & Schult.f.,"('BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'PER')",
433,Amaioua longipedicellata,Amaioua longipedicellata Delprete & J.G.Jardim,"('BZE',)",
434,Amaioua macrosepala,Amaioua macrosepala C.H.Perss. & E.Méndez-Varg.,"('CLM',)",
435,Amaioua magnicarpa,Amaioua magnicarpa Dwyer,"('CLM', 'PAN')",
436,Amaioua monteiroi,Amaioua monteiroi Standl.,"('BZN',)",
437,Amaioua pedicellata,Amaioua pedicellata Dwyer,"('COS', 'PAN')",
438,Amaioua pilosa,Amaioua pilosa K.Schum.,"('BZE', 'BZL')",
439,Amalocalyx microlobus,Amalocalyx microlobus Pierre ex Spire,"('CBD', 'CHC', 'LAO', 'MYA', 'THA', 'VIE')",
440,Amaracarpus acuminatus,Amaracarpus acuminatus S.Moore,"('NWG',)",
441,Amaracarpus anomalus,Amaracarpus anomalus Wernham,"('NWG',)",
442,Amaracarpus attenuatus,Amaracarpus attenuatus Merr. & L.M.Perry,"('NWG',)",
443,Amaracarpus belensis,Amaracarpus belensis Merr. & L.M.Perry,"('MOL', 'NWG')",
444,Amaracarpus brassii,Amaracarpus brassii Merr. & L.M.Perry,"('NWG',)",
445,Amaracarpus braunianus,Amaracarpus braunianus (Warb. ex Boerl.) Valeton,"('NWG',)",
446,Amaracarpus calcicola,Amaracarpus calcicola Merr. & L.M.Perry,"('NWG',)",
447,Amaracarpus compactus,Amaracarpus compactus Merr. & L.M.Perry,"('NWG',)",
448,Amaracarpus cuneifolius,Amaracarpus cuneifolius Valeton,"('NWG',)",
449,Amaracarpus doormanniensis,Amaracarpus doormanniensis Valeton,"('NWG',)",
450,Amaracarpus floribundus,Amaracarpus floribundus Valeton,"('NWG',)",
451,Amaracarpus grandiflorus,Amaracarpus grandiflorus A.P.Davis,"('MOL',)",
452,Amaracarpus grandifolius,Amaracarpus grandifolius Valeton,"('BIS', 'MOL', 'NWG', 'SOL')",
453,Amaracarpus idenburgensis,Amaracarpus idenburgensis Merr. & L.M.Perry,"('NWG',)",
454,Amaracarpus kochii,Amaracarpus kochii Valeton,"('NWG',)",
455,Amaracarpus ledermannii,Amaracarpus ledermannii Valeton,"('NWG',)",
456,Amaracarpus major,Amaracarpus major (Valeton) A.P.Davis,"('NWG',)",
457,Amaracarpus montanus,Amaracarpus montanus Valeton,"('NWG',)",
458,Amaracarpus nematopodus,Amaracarpus nematopodus (F.Muell.) P.I.Forst.,"('NWG', 'QLD', 'VAN')",
459,Amaracarpus nouhuizii,Amaracarpus nouhuizii (Valeton) Valeton,"('NWG',)",
460,Amaracarpus novoguineensis,Amaracarpus novoguineensis (Warb. ex Boerl.) Valeton,"('NWG',)",
461,Amaracarpus nymanii,Amaracarpus nymanii Valeton,"('NWG',)",
462,Amaracarpus papuanus,Amaracarpus papuanus Valeton,"('NWG',)",
463,Amaracarpus pubescens,Amaracarpus pubescens Blume,"('AND', 'BOR', 'JAW', 'LSI', 'MOL', 'MYA', 'NCB', 'NWG', 'PHI', 'SEY', 'SUL', 'SUM', 'THA', 'XMS')",
464,Amaracarpus rhombifolius,Amaracarpus rhombifolius Valeton,"('NWG',)",
465,Amaracarpus schlechteri,Amaracarpus schlechteri Valeton,"('NWG',)",
466,Amaracarpus syzygifolius,Amaracarpus syzygifolius Valeton,"('NWG',)",
467,Amaracarpus trichocalyx,Amaracarpus trichocalyx Valeton,"('NWG',)",
468,Amaracarpus wichmannii,Amaracarpus wichmannii Valeton,"('NWG',)",
469,Amaracarpus xanthocarpus,Amaracarpus xanthocarpus Merr. & L.M.Perry,"('NWG',)",
470,Ambelania acida,Ambelania acida Aubl.,"('BZE', 'BZN', 'FRG', 'GUY', 'SUR', 'VEN')",
471,Ambelania duckei,Ambelania duckei Markgr.,"('BZN', 'PER')",
472,Ambelania occidentalis,Ambelania occidentalis Zarucchi,"('BZN', 'CLM', 'PER')",
473,Amphiasma benguellense,Amphiasma benguellense (Hiern) Bremek.,"('ANG', 'NAM')",
474,Amphiasma divaricatum,Amphiasma divaricatum (Engl.) Bremek.,"('NAM',)",
475,Amphiasma luzuloides,Amphiasma luzuloides (K.Schum.) Bremek.,"('MLW', 'TAN')",
476,Amphiasma merenskyanum,Amphiasma merenskyanum Bremek.,"('ANG', 'NAM')",
477,Amphiasma micranthum,Amphiasma micranthum (Chiov.) Bremek.,"('ANG',)",
478,Amphiasma redheadii,Amphiasma redheadii Bremek.,"('ZAM',)",
479,Amphiasma robijnsii,Amphiasma robijnsii Bremek.,"('ZAI',)",
480,Amphidasya ambigua,Amphidasya ambigua (Standl.) Standl.,"('CLM', 'ECU', 'PAN')",
481,Amphidasya amethystina,Amphidasya amethystina J.L.Clark & C.M.Taylor,"('ECU',)",
482,Amphidasya brevidentata,Amphidasya brevidentata C.M.Taylor,"('CLM',)",
483,Amphidasya bullata,Amphidasya bullata Standl.,"('CLM',)",
484,Amphidasya colombiana,Amphidasya colombiana (Standl.) Steyerm.,"('CLM', 'ECU', 'PER')",
485,Amphidasya elegans,Amphidasya elegans C.M.Taylor,"('CLM', 'ECU')",
486,Amphidasya intermedia,Amphidasya intermedia Steyerm.,"('CLM',)",
487,Amphidasya longicalycina,Amphidasya longicalycina (Dwyer) C.M.Taylor,"('CLM', 'COS', 'NIC', 'PAN')",
488,Amphidasya neblinae,Amphidasya neblinae Steyerm.,"('BZN', 'VEN')",
489,Amphidasya panamensis,Amphidasya panamensis C.M.Taylor,"('PAN',)",
490,Amphidasya spathulata,Amphidasya spathulata Dwyer,"('CLM', 'PAN')",
491,Amphidasya umbrosa,Amphidasya umbrosa (Wernham) Standl.,"('CLM',)",
492,Amphidasya venezuelensis,Amphidasya venezuelensis (Standl.) Steyerm.,"('VEN',)",
493,Amphineurion marginatum,Amphineurion marginatum (Roxb.) D.J.Middleton,"('AND', 'ASS', 'BAN', 'BOR', 'CBD', 'CHH', 'CHS', 'EHM', 'IND', 'JAW', 'LAO', 'LSI', 'MLY', 'MOL', 'MYA', 'NCB', 'NEP', 'PHI', 'SUL', 'SUM', 'THA', 'VIE')",
494,Amphistemon humbertii,Amphistemon humbertii Groeninckx,"('MDG',)",
495,Amphistemon rakotonasolianus,Amphistemon rakotonasolianus Groeninckx,"('MDG',)",
496,Amsonia ciliata,Amsonia ciliata Walter,"('ALA', 'ARK', 'FLA', 'GEO', 'MSO', 'NCA', 'OKL', 'SCA', 'TEX')",
497,Amsonia elliptica,Amsonia elliptica (Thunb.) Roem. & Schult.,"('CHS', 'JAP', 'KOR')",
498,Amsonia fugatei,Amsonia fugatei S.P.McLaughlin,"('NWM',)",
499,Amsonia grandiflora,Amsonia grandiflora Alexander,"('ARI', 'MXE', 'MXN')",
500,Amsonia hubrichtii,Amsonia hubrichtii Woodson,"('ARK', 'OKL')",
501,Amsonia jonesii,Amsonia jonesii Woodson,"('ARI', 'COL', 'NWM', 'UTA')",
502,Amsonia kearneyana,Amsonia kearneyana Woodson,"('ARI',)",
503,Amsonia longiflora,Amsonia longiflora Torr.,"('MXE', 'NWM', 'TEX')",
504,Amsonia ludoviciana,Amsonia ludoviciana Small,"('GEO', 'LOU', 'MSI', 'TEX')",
505,Amsonia orientalis,Amsonia orientalis Decne.,"('GRC', 'TUE', 'TUR')",
506,Amsonia palmeri,Amsonia palmeri A.Gray,"('ARI', 'MXE', 'MXN', 'NWM', 'TEX')",
507,Amsonia peeblesii,Amsonia peeblesii Woodson,"('ARI',)",
508,Amsonia rigida,Amsonia rigida Shuttlew. ex Small,"('ALA', 'FLA', 'GEO', 'LOU', 'MSI')",
509,Amsonia tabernaemontana,Amsonia tabernaemontana Walter,"('ALA', 'ARK', 'DEL', 'GEO', 'ILL', 'INI', 'IOW', 'KAN', 'KTY', 'LOU', 'MSO', 'NCA', 'NEV', 'OKL', 'PEN', 'SCA', 'TEN', 'TEX', 'VRG')","('ITA', 'MAS', 'NWJ', 'NWY')"
510,Amsonia tharpii,Amsonia tharpii Woodson,"('NWM', 'TEX')",
511,Amsonia tomentosa,Amsonia tomentosa Torr. & Frém.,"('ARI', 'CAL', 'MXE', 'NEV', 'NWM', 'TEX', 'UTA')",
512,Ancylobothrys amoena,Ancylobothrys amoena Hua,"('BEN', 'BKN', 'BUR', 'CAF', 'CHA', 'CMN', 'CON', 'GAB', 'GHA', 'GUI', 'IVO', 'LBR', 'MLI', 'MLW', 'NGA', 'RWA', 'SUD', 'TAN', 'TOG', 'UGA', 'ZAI', 'ZAM')",
513,Ancylobothrys capensis,Ancylobothrys capensis (Oliv.) Pichon,"('BOT', 'CPP', 'NAT', 'TVL')",
514,Ancylobothrys petersiana,Ancylobothrys petersiana (Klotzsch) Pierre,"('BUR', 'CHA', 'COM', 'KEN', 'MDG', 'MLW', 'MOZ', 'NAT', 'SOM', 'TAN', 'TVL', 'ZAI', 'ZIM')","('MAU',)"
515,Ancylobothrys pumila,Ancylobothrys pumila K.Balkwill & R.A.Reddy,"('NAT',)",
516,Ancylobothrys pyriformis,Ancylobothrys pyriformis Pierre,"('CMN', 'CON', 'GAB', 'NGA', 'ZAI')",
517,Ancylobothrys robusta,Ancylobothrys robusta Pierre,"('ANG', 'CAF', 'CMN', 'CON', 'EQG', 'GAB', 'NGA', 'ZAI', 'ZAM')",
518,Ancylobothrys scandens,Ancylobothrys scandens (Schumach. & Thonn.) Pichon,"('ANG', 'BEN', 'BUR', 'CAB', 'CAF', 'CMN', 'CON', 'GAB', 'GHA', 'GUI', 'IVO', 'LBR', 'NGA', 'TOG', 'ZAI')",
519,Ancylobothrys tayloris,Ancylobothrys tayloris (Stapf) Pichon,"('KEN', 'MLW', 'MOZ', 'TAN')",
